,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
54,110lWlsa8fJXgrrwGgg0f1,Baby It's Cold Outside (duet with Michael Bublé),THE ELEVEN,0.68,0.593,5,-5.036,0,0.0281,0.0198,0.0,0.145,0.482,114.917,audio_features,spotify:track:110lWlsa8fJXgrrwGgg0f1,https://api.spotify.com/v1/tracks/110lWlsa8fJXgrrwGgg0f1,https://api.spotify.com/v1/audio-analysis/110lWlsa8fJXgrrwGgg0f1,185739,4
55,5DMItYJluCFc7YtFdP4aXo,Have Yourself A Merry Little Christmas,George Ezra,0.551,0.325,0,-13.507,1,0.0286,0.81,0.000112,0.115,0.496,98.932,audio_features,spotify:track:5DMItYJluCFc7YtFdP4aXo,https://api.spotify.com/v1/tracks/5DMItYJluCFc7YtFdP4aXo,https://api.spotify.com/v1/audio-analysis/5DMItYJluCFc7YtFdP4aXo,213160,3
56,5DoGwwQAlYumpSSlDNMOwY,Rockin' Around The Christmas Tree - Single Version,Queen,0.475,0.068,0,-20.032,1,0.0319,0.893,0.00216,0.105,0.266,95.165,audio_features,spotify:track:5DoGwwQAlYumpSSlDNMOwY,https://api.spotify.com/v1/tracks/5DoGwwQAlYumpSSlDNMOwY,https://api.spotify.com/v1/audio-analysis/5DoGwwQAlYumpSSlDNMOwY,192421,3
57,3PIDciSFdrQxSQSihim3hN,All I Want for Christmas Is You,Josh Groban,0.561,0.782,3,-7.444,1,0.0317,0.022,0.0,0.109,0.704,127.148,audio_features,spotify:track:3PIDciSFdrQxSQSihim3hN,https://api.spotify.com/v1/tracks/3PIDciSFdrQxSQSihim3hN,https://api.spotify.com/v1/audio-analysis/3PIDciSFdrQxSQSihim3hN,153240,4
58,7Hz6LLOVxrojLPIHJJ1S0E,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Taylor Swift,0.426,0.177,5,-9.429,1,0.0436,0.954,0.0,0.317,0.317,133.483,audio_features,spotify:track:7Hz6LLOVxrojLPIHJJ1S0E,https://api.spotify.com/v1/tracks/7Hz6LLOVxrojLPIHJJ1S0E,https://api.spotify.com/v1/audio-analysis/7Hz6LLOVxrojLPIHJJ1S0E,170964,1
59,2rkb8ijsPapKDMEh0cSe8I,Christmas Time Is Here - Recorded at Sound Emporium Nashville,Dan + Shay,0.485,0.444,1,-6.232,1,0.195,0.373,2.5e-06,0.0969,0.777,179.967,audio_features,spotify:track:2rkb8ijsPapKDMEh0cSe8I,https://api.spotify.com/v1/tracks/2rkb8ijsPapKDMEh0cSe8I,https://api.spotify.com/v1/audio-analysis/2rkb8ijsPapKDMEh0cSe8I,161013,3
60,1XBc4r6ltXjkFJBrsttwIF,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Mariah Carey,0.691,0.402,8,-12.149,1,0.0599,0.703,0.0,0.463,0.844,139.752,audio_features,spotify:track:1XBc4r6ltXjkFJBrsttwIF,https://api.spotify.com/v1/tracks/1XBc4r6ltXjkFJBrsttwIF,https://api.spotify.com/v1/audio-analysis/1XBc4r6ltXjkFJBrsttwIF,125827,4
61,4hrQGaFalrGJfcsILMxjuc,The Christmas Song (Chestnuts Roasting On An Open Fire),Sia,0.54,0.235,9,-9.676,1,0.0458,0.905,0.0,0.15,0.415,119.766,audio_features,spotify:track:4hrQGaFalrGJfcsILMxjuc,https://api.spotify.com/v1/tracks/4hrQGaFalrGJfcsILMxjuc,https://api.spotify.com/v1/audio-analysis/4hrQGaFalrGJfcsILMxjuc,218267,4
62,0JoLc8rgQBJhDMolSCuRuw,Last Christmas,Liz Gillies,0.706,0.633,2,-9.715,1,0.0303,0.674,0.0,0.155,0.823,128.88,audio_features,spotify:track:0JoLc8rgQBJhDMolSCuRuw,https://api.spotify.com/v1/tracks/0JoLc8rgQBJhDMolSCuRuw,https://api.spotify.com/v1/audio-analysis/0JoLc8rgQBJhDMolSCuRuw,123640,4
63,6C81GGUCNbEmR8gMIi0CpH,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,Sam Smith,0.515,0.876,0,-4.286,1,0.0603,0.0123,0.0,0.124,0.917,185.967,audio_features,spotify:track:6C81GGUCNbEmR8gMIi0CpH,https://api.spotify.com/v1/tracks/6C81GGUCNbEmR8gMIi0CpH,https://api.spotify.com/v1/audio-analysis/6C81GGUCNbEmR8gMIi0CpH,156773,4
